project_id,project_name,sector,ministry,state,district,implementing_agency,sanctioned_cost,revised_cost,actual_expenditure,sanctioned_duration,actual_duration,start_date,expected_end_date,revised_end_date,physical_progress,financial_progress,contractor_name,revision_count,funding_source,land_acquisition_status,environment_clearance,forest_clearance,utility_shifting_status,tender_type,no_of_extensions,last_inspection_date,inspection_score,disputes_count,cost_overrun_flag,time_overrun_flag,cost_overrun_pct,time_overrun_pct,risk_score,risk_category
PROJ-619224,Augmentation of DUPL-DPPL Pipeline,Oil & Gas,Ministry of Petroleum & Natural Gas,Nagaland,Kohima,Gas Authority of India Limited [GAIL],844.0,844.0,1.2,33,33,2025-06-23,2028-03-22,2028-03-22,8.0,0.14,PNC Infratech Ltd,1,State,Complete,Obtained,Obtained,Complete,Open,0,2026-07-17,8.8,0,0,0,0.0,0.0,8.0,Low
PROJ-709786,"Augmentation/ Revamping of Dimapur Depot, Dimapur",Oil & Gas,Ministry of Petroleum & Natural Gas,Nagaland,Dimapur,Indian Oil Corporation Limited [IOCL],228.0,227.62,28.03,51,51,2023-08-18,2027-11-30,2027-11-30,43.0,12.29,Afcons Infrastructure,0,Externally Aided,Complete,Not Required,Obtained,Complete,Limited,1,2026-02-07,9.2,0,0,0,0.0,0.0,8.0,Low
PROJ-709776,Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi,Oil & Gas,Ministry of Petroleum & Natural Gas,Assam,Guwahati,Indian Oil Corporation Limited [IOCL],277.0,323.09,236.16,54,54,2022-04-06,2026-09-30,2026-09-30,84.0,73.09,IRCON International,3,PPP,Not Started,Pending,Not Required,Complete,Open,4,2026-04-17,6.3,3,1,0,16.64,0.0,22.5,Low
PROJ-701324,Barauni Refinery Capacity Expansion from 6.0 to 9.0 MMTPA,Oil & Gas,Ministry of Petroleum & Natural Gas,Jammu and Kashmir,Udhampur,Indian Oil Corporation Limited [IOCL],14810.0,16724.0,13089.8,39,83,2020-01-30,2023-04-30,2026-12-31,92.0,78.27,Ashoka Buildcon Ltd,2,PPP,Complete,Pending,Pending,Complete,Limited,5,2026-03-03,4.0,2,1,1,12.92,112.82,47.2,Medium
PROJ-709850,Borholla GGS Life Extension Project [BLEP],Oil & Gas,Ministry of Petroleum & Natural Gas,Assam,Dibrugarh,Oil and Natural Gas Corporation Limited [ONGC],199.0,198.7,110.99,32,42,2023-09-18,2026-05-16,2027-03-31,64.0,55.77,KNR Constructions Ltd,4,State,Complete,Pending,Not Required,Not Started,Single,4,2026-06-18,5.9,2,0,1,0.0,31.25,27.1,Low
PROJ-619312,Bulk Loading Hub- Kanpur,Oil & Gas,Ministry of Petroleum & Natural Gas,Uttar Pradesh,Kanpur,Bharat Petroleum Corporation Limited [BPCL],186.0,186.0,104.24,24,24,2025-09-26,2027-09-30,2027-09-30,62.0,56.04,NCC Limited,1,PPP,Complete,Obtained,Obtained,Complete,Single,0,2026-05-02,9.3,1,0,0,0.0,0.0,8.0,Low
PROJ-617830,C2/C3 Vijaipur Pata Pipeline,Oil & Gas,Ministry of Petroleum & Natural Gas,Andhra Pradesh,Visakhapatnam,Gas Authority of India Limited [GAIL],1792.0,1792.0,541.2,32,32,2024-05-16,2027-01-15,2027-01-15,73.0,30.2,Ashoka Buildcon Ltd,0,Central,Partial,Obtained,Not Required,Complete,Open,0,2026-06-25,8.7,0,0,0,0.0,0.0,8.0,Low
PROJ-709779,Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA,Oil & Gas,Ministry of Petroleum & Natural Gas,Odisha,Bhubaneswar,Indian Oil Corporation Limited [IOCL],768.0,740.0,250.84,44,61,2022-06-28,2026-03-08,2027-07-31,60.0,32.66,Patel Engineering,2,PPP,Complete,Pending,Obtained,Complete,Single,5,2026-08-16,4.0,0,0,1,0.0,38.64,25.3,Low
PROJ-701289,Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA,Oil & Gas,Ministry of Petroleum & Natural Gas,Haryana,Panipat,Indian Oil Corporation Limited [IOCL],34627.0,36225.0,28007.3,43,70,2021-02-26,2024-09-30,2026-12-31,94.0,77.31,Adani Infra Ltd,4,Externally Aided,Not Started,Obtained,Not Required,Not Started,Limited,2,2026-06-29,5.5,1,0,1,4.61,62.79,43.0,Medium
PROJ-604795,CBR 9 MMTPA Project,Oil & Gas,Ministry of Petroleum & Natural Gas,Tamil Nadu,Chennai,Chennai Petroleum Corporation Limited [CPCL],31580.0,36354.0,1615.38,45,45,2021-09-03,2025-06-02,2025-06-02,10.0,4.44,Dilip Buildcon Ltd,3,PPP,Not Started,Pending,Obtained,Not Started,Open,4,2026-03-19,4.3,1,1,0,15.12,0.0,21.4,Low
PROJ-619196,Change of service of existing Mundra-Panipat Pipeline [Panipat - Churwa section] from Crude oil to Product,Oil & Gas,Ministry of Petroleum & Natural Gas,Haryana,Panipat,Indian Oil Corporation Limited [IOCL],359.0,359.0,52.55,23,23,2025-05-30,2027-04-30,2027-04-30,43.0,14.64,Adani Infra Ltd,1,Central,Complete,Obtained,Obtained,Partial,Open,0,2026-05-05,8.4,0,0,0,0.0,0.0,8.0,Low
PROJ-617818,"City Gas Distribution [CGD] Project in Gajapati, Kandhamal, Boudh, & Sonepur GA",Oil & Gas,Ministry of Petroleum & Natural Gas,Delhi,North Delhi,GAIL Gas,515.0,514.91,25.77,118,118,2022-02-28,2031-12-31,2031-12-31,6.0,5.0,Patel Engineering,1,Externally Aided,Partial,Obtained,Obtained,Complete,Open,0,2026-07-16,8.5,0,0,0,0.0,0.0,8.0,Low
PROJ-617819,"City Gas Distribution [CGD] Project in Kondagaon, Bastar, Sukma, Narayanpur, Bijapur & Dantewada GA",Oil & Gas,Ministry of Petroleum & Natural Gas,Meghalaya,Tura,GAIL Gas,557.0,557.04,11.63,96,96,2022-06-13,2030-06-12,2030-06-12,2.0,2.09,Dilip Buildcon Ltd,0,Externally Aided,Complete,Obtained,Obtained,Complete,Open,1,2026-01-30,8.3,0,0,0,0.01,0.0,8.0,Low
PROJ-701338,City Gas Distribution Maharashtra Natural Gas Limited,Oil & Gas,Ministry of Petroleum & Natural Gas,Maharashtra,Mumbai,Gas Authority of India Limited [GAIL],5535.0,5535.0,4481.93,305,305,2006-01-13,2031-06-08,2031-06-08,47.0,80.97,KNR Constructions Ltd,1,State,Complete,Obtained,Obtained,Complete,Open,1,2026-07-31,8.1,0,0,0,0.0,0.0,12.2,Low
PROJ-709771,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts",Oil & Gas,Ministry of Petroleum & Natural Gas,Maharashtra,Mumbai,Indian Oil Corporation Limited [IOCL],865.0,865.0,89.23,115,115,2022-03-15,2031-09-30,2031-09-30,3.0,10.32,Megha Engineering (MEIL),0,Central,Complete,Not Required,Obtained,Partial,Limited,0,2026-08-09,8.4,0,0,0,0.0,0.0,8.0,Low
PROJ-709772,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts",Oil & Gas,Ministry of Petroleum & Natural Gas,Kerala,Thiruvananthapuram,Indian Oil Corporation Limited [IOCL],609.0,609.0,64.44,111,111,2022-03-23,2031-06-30,2031-06-30,3.0,10.58,Ashoka Buildcon Ltd,0,PPP,Partial,Obtained,Obtained,Complete,Open,0,2026-01-26,8.3,1,0,0,0.0,0.0,8.0,Low
PROJ-709773,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua Districts",Oil & Gas,Ministry of Petroleum & Natural Gas,Jammu and Kashmir,Jammu,Indian Oil Corporation Limited [IOCL],538.0,538.0,4.45,151,151,2022-03-15,2034-09-30,2034-09-30,1.0,0.83,PNC Infratech Ltd,0,State,Complete,Not Required,Not Required,Complete,Limited,1,2026-01-06,7.4,0,0,0,0.0,0.0,8.0,Low
PROJ-709770,City Gas Distribution Project at Pathankot District,Oil & Gas,Ministry of Petroleum & Natural Gas,Andhra Pradesh,Kurnool,Indian Oil Corporation Limited [IOCL],151.0,151.0,9.02,138,138,2022-03-29,2033-09-30,2033-09-30,2.0,5.97,Ashoka Buildcon Ltd,0,Central,Complete,Obtained,Obtained,Complete,Open,0,2026-03-29,7.3,0,0,0,0.0,0.0,8.0,Low
PROJ-709791,City Gas Distribution Projects at Alipurduar and Cooch Behar,Oil & Gas,Ministry of Petroleum & Natural Gas,Madhya Pradesh,Ujjain,Bharat Petroleum Corporation Limited [BPCL],1017.0,1017.0,238.41,87,87,2022-12-21,2030-03-31,2030-03-31,44.0,23.44,NCC Limited,0,State,Complete,Obtained,Obtained,Complete,Open,0,2026-01-18,9.4,0,0,0,0.0,0.0,8.0,Low
PROJ-709792,"City Gas Distribution Projects at Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",Oil & Gas,Ministry of Petroleum & Natural Gas,Bihar,Darbhanga,Bharat Petroleum Corporation Limited [BPCL],3638.0,3638.0,493.91,87,87,2022-12-21,2030-03-31,2030-03-31,34.0,13.58,IRCON International,0,Externally Aided,Complete,Obtained,Obtained,Complete,Open,0,2026-03-04,8.6,0,0,0,0.0,0.0,8.0,Low
PROJ-709794,"City Gas Distribution Projects at Fazilka [except area already authorized], Ganganagar and Hanumangarh districts",Oil & Gas,Ministry of Petroleum & Natural Gas,Manipur,Thoubal,Bharat Petroleum Corporation Limited [BPCL],3207.0,3207.0,429.3,90,90,2022-12-21,2030-06-30,2030-06-30,31.0,13.39,Patel Engineering,1,Central,Complete,Obtained,Obtained,Complete,Open,0,2026-05-18,9.2,0,0,0,0.0,0.0,8.0,Low
PROJ-709793,"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",Oil & Gas,Ministry of Petroleum & Natural Gas,Punjab,Patiala,Bharat Petroleum Corporation Limited [BPCL],3919.0,3919.0,527.15,90,90,2022-12-21,2030-06-30,2030-06-30,30.0,13.45,GMR Infrastructure,0,PPP,Complete,Obtained,Obtained,Complete,Open,0,2026-04-26,8.5,0,0,0,0.0,0.0,8.0,Low
PROJ-709795,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich, Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts",Oil & Gas,Ministry of Petroleum & Natural Gas,Assam,Silchar,Bharat Petroleum Corporation Limited [BPCL],16654.0,16654.0,754.7,90,90,2022-12-21,2030-06-30,2030-06-30,20.0,4.53,GMR Infrastructure,0,Central,Complete,Obtained,Obtained,Partial,Open,0,2026-04-30,9.2,0,0,0,0.0,0.0,8.0,Low
PROJ-709796,City Gas Distribution Projects at the Nilgiris and Erode districts,Oil & Gas,Ministry of Petroleum & Natural Gas,Karnataka,Hubballi,Bharat Petroleum Corporation Limited [BPCL],3685.0,3685.0,303.1,87,87,2022-12-21,2030-03-31,2030-03-31,26.0,8.23,GMR Infrastructure,1,State,Complete,Obtained,Obtained,Complete,Single,0,2026-05-24,7.4,0,0,0,0.0,0.0,8.0,Low
PROJ-617836,Coke Drum Structure Package,Oil & Gas,Ministry of Petroleum & Natural Gas,Haryana,Faridabad,Numaligarh Refinery Limited,635.0,635.28,464.46,36,36,2022-12-20,2025-12-31,2025-12-31,72.0,73.11,Adani Infra Ltd,0,Externally Aided,Complete,Obtained,Obtained,Complete,Limited,0,2026-08-04,9.3,0,0,0,0.04,0.0,8.0,Low
PROJ-709838,Commercial Polymer Flooding Project in Bechraji field,Oil & Gas,Ministry of Petroleum & Natural Gas,Delhi,North Delhi,Oil and Natural Gas Corporation Limited [ONGC],621.0,739.02,280.45,34,64,2022-01-21,2024-11-30,2027-05-31,50.0,37.95,NCC Limited,4,State,Partial,Pending,Not Required,Partial,Single,4,2026-02-13,6.2,3,1,1,19.0,88.24,51.8,Medium
PROJ-709780,Construction of Additional Tankages and Allied Facilities at JNPT Terminal,Oil & Gas,Ministry of Petroleum & Natural Gas,Bihar,Bhagalpur,Indian Oil Corporation Limited [IOCL],341.0,436.14,305.01,52,52,2022-04-19,2026-08-31,2026-08-31,73.0,69.93,IRCON International,3,Externally Aided,Not Started,Pending,Obtained,Partial,Limited,4,2026-08-13,6.4,2,1,0,27.9,0.0,26.6,Low
PROJ-616858,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing & transportation of natural Gas to be produced from Baghjan Field",Oil & Gas,Ministry of Petroleum & Natural Gas,Bihar,Darbhanga,Oil India Limited,431.0,430.76,348.65,39,71,2020-12-29,2024-03-31,2026-11-30,96.0,80.89,GMR Infrastructure,2,Central,Complete,Pending,Not Required,Partial,Open,3,2026-05-08,4.2,2,0,1,0.0,82.05,38.3,Medium
PROJ-709837,"Creation of Gas Dehydration Facilities, Tripura Asset",Oil & Gas,Ministry of Petroleum & Natural Gas,Tripura,Agartala,Oil and Natural Gas Corporation Limited [ONGC],209.0,131.51,81.31,27,56,2022-03-08,2024-05-31,2026-10-31,71.0,38.9,KNR Constructions Ltd,3,State,Not Started,Obtained,Obtained,Not Started,Limited,1,2026-04-24,5.1,3,0,1,0.0,107.41,42.6,Medium
PROJ-709800,"CUF POL Depot at Sadashibpur [Meramundali], Odisha",Oil & Gas,Ministry of Petroleum & Natural Gas,Odisha,Bhubaneswar,Bharat Petroleum Corporation Limited [BPCL],394.0,393.54,233.3,59,65,2021-04-21,2026-03-31,2026-09-30,86.0,59.21,Adani Infra Ltd,1,Externally Aided,Partial,Obtained,Obtained,Complete,Limited,0,2026-02-15,8.7,0,0,0,0.0,10.17,8.0,Low
PROJ-709839,Daman Upside Development Project,Oil & Gas,Ministry of Petroleum & Natural Gas,Odisha,Puri,Oil and Natural Gas Corporation Limited [ONGC],4144.0,6406.9,6302.5,40,54,2022-06-29,2025-10-31,2026-12-31,93.0,98.37,Hindustan Construction Company (HCC),1,Central,Complete,Pending,Not Required,Partial,Open,5,2026-02-06,5.4,1,1,1,54.61,35.0,49.6,Medium
PROJ-709864,DCU Revamp Project,Oil & Gas,Ministry of Petroleum & Natural Gas,Manipur,Churachandpur,Numaligarh Refinery Limited,370.0,370.0,310.38,35,68,2021-08-05,2024-07-17,2027-03-31,80.0,83.89,NCC Limited,4,Externally Aided,Not Started,Obtained,Not Required,Not Started,Limited,5,2026-04-11,4.2,1,0,1,0.0,94.29,46.2,Medium
PROJ-616879,Demo Bio-ATF Project,Oil & Gas,Ministry of Petroleum & Natural Gas,Mizoram,Champhai,Mangalore Refinery and Petrochemicals Limited,364.0,364.0,91.39,34,34,2024-03-22,2027-01-16,2027-01-16,55.0,25.11,KNR Constructions Ltd,0,State,Complete,Obtained,Obtained,Complete,Open,0,2026-01-16,7.6,0,0,0,0.0,0.0,8.0,Low
PROJ-610984,Development of Jharia CBM Block [Phase-1],Oil & Gas,Ministry of Petroleum & Natural Gas,Kerala,Kollam,Oil and Natural Gas Corporation Limited [ONGC],431.0,431.0,267.74,50,82,2019-11-21,2024-01-21,2026-09-30,66.0,62.12,PNC Infratech Ltd,3,Central,Not Started,Pending,Obtained,Partial,Open,4,2026-04-22,5.3,3,0,1,0.0,64.0,43.8,Medium
PROJ-604863,Development of Surface Facilities for production and evacuation of Crude Oil and Natural Gas from Nadua and East Khagorija,Oil & Gas,Ministry of Petroleum & Natural Gas,Tripura,Dharmanagar,Oil India Limited,683.0,726.93,601.12,26,108,2018-01-10,2020-02-29,2026-12-31,94.0,82.69,Tata Projects Ltd,4,Externally Aided,Complete,Pending,Pending,Partial,Limited,4,2026-01-15,4.5,2,0,1,6.43,315.38,45.9,Medium
PROJ-701344,Dhamra Haldia Pipeline Project,Oil & Gas,Ministry of Petroleum & Natural Gas,Maharashtra,Thane,Gas Authority of India Limited [GAIL],1031.0,1125.0,927.4,32,79,2020-03-03,2022-11-07,2026-09-30,94.0,82.44,IRB Infrastructure Developers,2,Externally Aided,Complete,Pending,Obtained,Not Started,Limited,1,2026-07-26,7.1,2,0,1,9.12,146.88,42.3,Medium
PROJ-617302,Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project],Oil & Gas,Ministry of Petroleum & Natural Gas,West Bengal,Durgapur,Gas Authority of India Limited [GAIL],1740.0,2583.0,2380.8,46,115,2017-03-01,2020-12-31,2026-09-30,96.0,92.17,Tata Projects Ltd,4,Central,Complete,Obtained,Pending,Not Started,Limited,1,2026-02-28,4.7,2,1,1,48.45,150.0,62.4,Medium
PROJ-709798,Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants and expansion of Refinery,Oil & Gas,Ministry of Petroleum & Natural Gas,Ladakh,Leh,Bharat Petroleum Corporation Limited [BPCL],43367.0,43367.0,6104.0,61,61,2023-05-15,2028-05-31,2028-05-31,34.0,14.08,PNC Infratech Ltd,1,Central,Partial,Obtained,Obtained,Complete,Single,1,2026-02-20,7.1,0,0,0,0.0,0.0,8.0,Low
PROJ-619316,"Group Gathering Station, Lakwagaon",Oil & Gas,Ministry of Petroleum & Natural Gas,Arunachal Pradesh,Tawang,Oil India Limited,496.0,495.59,20.04,24,24,2025-10-09,2027-10-23,2027-10-23,8.0,4.04,GMR Infrastructure,0,PPP,Complete,Obtained,Not Required,Complete,Single,0,2026-04-26,7.4,0,0,0,0.0,0.0,8.0,Low
PROJ-612853,Gurdaspur Jammu Pipeline,Oil & Gas,Ministry of Petroleum & Natural Gas,Jammu and Kashmir,Jammu,Gas Authority of India Limited [GAIL],522.0,521.9,326.4,36,36,2023-07-12,2026-07-11,2026-07-11,91.0,62.53,IRB Infrastructure Developers,0,Central,Complete,Obtained,Obtained,Complete,Open,0,2026-03-15,8.3,0,0,0,0.0,0.0,8.0,Low
PROJ-709753,Haldia Panagarh Pipeline Project,Oil & Gas,Ministry of Petroleum & Natural Gas,Jharkhand,Deoghar,Hindustan Petroleum Corporation Limited,1010.0,1107.0,884.2,36,46,2022-11-09,2025-11-08,2026-08-31,98.0,79.87,Tata Projects Ltd,2,PPP,Partial,Obtained,Pending,Not Started,Limited,4,2026-03-05,5.0,2,0,1,9.6,27.78,29.2,Low
PROJ-709752,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,Oil & Gas,Ministry of Petroleum & Natural Gas,Tripura,Udaipur,Hindustan Petroleum Corporation Limited,160.0,220.0,158.94,33,65,2021-09-23,2024-06-30,2027-02-28,94.0,72.25,Dilip Buildcon Ltd,4,State,Not Started,Obtained,Not Required,Not Started,Open,1,2026-01-10,4.2,0,1,1,37.5,96.97,57.7,Medium
PROJ-604853,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II, Faridabad",Oil & Gas,Ministry of Petroleum & Natural Gas,Haryana,Faridabad,Indian Oil Corporation Limited [IOCL],2282.0,3200.0,1922.03,42,97,2019-06-27,2022-12-31,2027-07-31,65.0,60.06,Hindustan Construction Company (HCC),1,Central,Not Started,Pending,Not Required,Partial,Single,4,2026-02-25,6.2,1,1,1,40.23,130.95,58.8,Medium
PROJ-709777,Installation of Bitumen Manufacturing Unit along with allied facilities at Barauni Refinery,Oil & Gas,Ministry of Petroleum & Natural Gas,Tamil Nadu,Salem,Indian Oil Corporation Limited [IOCL],389.0,410.3,124.57,39,65,2022-01-31,2025-04-30,2027-06-30,66.0,30.36,KNR Constructions Ltd,1,State,Partial,Obtained,Not Required,Partial,Limited,2,2026-03-25,6.0,1,0,1,5.48,66.67,38.1,Medium
PROJ-619225,Installation of Compression facility at GAIL Usar,Oil & Gas,Ministry of Petroleum & Natural Gas,Madhya Pradesh,Indore,Gas Authority of India Limited [GAIL],260.0,260.2,0.0,24,24,2025-04-09,2027-04-08,2027-04-08,0.0,0.0,Patel Engineering,1,State,Partial,Obtained,Not Required,Complete,Limited,0,2026-08-09,7.2,0,0,0,0.08,0.0,8.0,Low
PROJ-709783,"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery and Petrochemical Complex.",Oil & Gas,Ministry of Petroleum & Natural Gas,Haryana,Panipat,Indian Oil Corporation Limited [IOCL],165.0,247.69,193.38,30,70,2020-12-22,2023-06-30,2026-10-31,92.0,78.07,IRCON International,2,Externally Aided,Complete,Obtained,Pending,Not Started,Limited,4,2026-02-04,5.9,3,1,1,50.12,133.33,64.2,Medium
PROJ-709778,Installation of new Biturox Unit along with allied facilities at Gujarat Refinery,Oil & Gas,Ministry of Petroleum & Natural Gas,Gujarat,Ahmedabad,Indian Oil Corporation Limited [IOCL],328.0,344.36,218.17,42,59,2022-01-31,2025-08-08,2026-12-31,88.0,63.36,Tata Projects Ltd,2,Central,Not Started,Obtained,Obtained,Not Started,Limited,5,2026-04-26,3.6,1,0,1,4.99,40.48,33.1,Low
PROJ-709851,Integrated Development of 4 Contract Areas under DSF-II,Oil & Gas,Ministry of Petroleum & Natural Gas,Bihar,Purnia,Oil and Natural Gas Corporation Limited [ONGC],6184.0,6183.79,2053.0,47,47,2023-05-26,2027-04-30,2027-04-30,47.0,33.2,Megha Engineering (MEIL),0,Central,Complete,Obtained,Obtained,Complete,Open,0,2026-08-04,8.7,0,0,0,0.0,0.0,8.0,Low
PROJ-604859,Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip Refinery,Oil & Gas,Ministry of Petroleum & Natural Gas,Haryana,Faridabad,Indian Oil Corporation Limited [IOCL],13805.0,11783.0,8870.29,42,73,2020-07-31,2024-01-31,2026-08-31,95.0,64.25,Tata Projects Ltd,1,Externally Aided,Complete,Obtained,Not Required,Not Started,Open,2,2026-01-19,5.1,2,0,1,0.0,73.81,36.3,Medium
PROJ-709842,"Kalol Redevelopment Project, Ahmedabad Asset",Oil & Gas,Ministry of Petroleum & Natural Gas,Gujarat,Ahmedabad,Oil and Natural Gas Corporation Limited [ONGC],1487.0,1487.41,946.45,55,55,2022-08-30,2027-03-31,2027-03-31,66.0,63.63,Adani Infra Ltd,0,Externally Aided,Complete,Obtained,Obtained,Partial,Single,0,2026-07-03,9.1,1,0,0,0.03,0.0,8.0,Low
PROJ-619191,Kanpur LPG Bottling Plant,Oil & Gas,Ministry of Petroleum & Natural Gas,Uttar Pradesh,Kanpur,Bharat Petroleum Corporation Limited [BPCL],202.0,202.0,132.75,24,24,2025-09-26,2027-09-30,2027-09-30,62.0,65.72,IRCON International,0,Central,Partial,Obtained,Obtained,Partial,Single,1,2026-03-03,9.3,0,0,0,0.0,0.0,8.0,Low
PROJ-400120,KG-DWN-98/2 Cluster - II Development Project - NELP Block,Oil & Gas,Ministry of Petroleum & Natural Gas,Uttar Pradesh,Ayodhya,Oil and Natural Gas Corporation Limited [ONGC],34012.0,34012.0,33192.0,51,126,2016-03-28,2020-06-30,2026-09-30,97.0,97.59,Afcons Infrastructure,1,Central,Complete,Pending,Pending,Partial,Open,1,2026-04-04,6.9,3,0,1,0.0,147.06,38.2,Medium
PROJ-701228,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,Oil & Gas,Ministry of Petroleum & Natural Gas,Kerala,Kochi,Gas Authority of India Limited [GAIL],2915.0,5909.0,4881.8,42,207,2009-06-22,2012-12-31,2026-09-30,97.0,82.62,IRB Infrastructure Developers,4,PPP,Partial,Pending,Obtained,Partial,Limited,1,2026-06-30,4.4,2,1,1,102.71,392.86,70.9,High
PROJ-709785,Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL],Oil & Gas,Ministry of Petroleum & Natural Gas,Jharkhand,Ranchi,Indian Oil Corporation Limited [IOCL],202.0,202.07,65.98,36,50,2023-02-09,2026-02-08,2027-03-31,58.0,32.65,Megha Engineering (MEIL),4,Central,Partial,Obtained,Obtained,Not Started,Single,4,2026-07-15,5.4,0,0,1,0.03,38.89,28.8,Low
PROJ-709750,Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline between CPCL Manali Refinery and CPCL Desalination plant at Ennore,Oil & Gas,Ministry of Petroleum & Natural Gas,Tamil Nadu,Chennai,Chennai Petroleum Corporation Limited [CPCL],205.0,205.0,117.88,20,35,2024-01-22,2025-09-21,2026-12-31,77.0,57.5,Larsen & Toubro Ltd,1,Central,Complete,Obtained,Obtained,Partial,Open,1,2026-05-28,3.8,3,0,1,0.0,75.0,35.0,Medium
PROJ-400119,Life Extension of 48 well platforms of Mumbai High & Heera Fields,Oil & Gas,Ministry of Petroleum & Natural Gas,Maharashtra,Mumbai,Oil and Natural Gas Corporation Limited [ONGC],3191.0,3375.9,3123.2,28,130,2015-12-22,2018-04-30,2026-10-31,90.0,92.51,PNC Infratech Ltd,1,Central,Not Started,Obtained,Pending,Complete,Single,3,2026-02-07,5.6,3,0,1,5.79,364.29,45.2,Medium
PROJ-616933,Lube Modernization & Bottom Upgradation Project at Mumbai Refinery,Oil & Gas,Ministry of Petroleum & Natural Gas,Maharashtra,Mumbai,Hindustan Petroleum Corporation Limited,4679.0,6008.0,314.9,39,56,2024-12-16,2028-03-16,2029-08-31,14.0,5.24,KNR Constructions Ltd,3,Central,Complete,Obtained,Pending,Partial,Open,1,2026-06-06,6.0,3,1,1,28.4,43.59,41.3,Medium
PROJ-701330,Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline,Oil & Gas,Ministry of Petroleum & Natural Gas,Jammu and Kashmir,Jammu,Indian Oil Corporation Limited [IOCL],7392.0,7392.0,6360.86,156,156,2011-07-07,2024-06-30,2024-06-30,90.0,86.05,IRCON International,0,State,Partial,Not Required,Not Required,Partial,Open,0,2026-07-02,9.5,0,0,0,0.0,0.0,8.0,Low
PROJ-709848,MHN TCPP PGC BGC Project [MTPBP],Oil & Gas,Ministry of Petroleum & Natural Gas,Uttar Pradesh,Noida,Oil and Natural Gas Corporation Limited [ONGC],2329.0,2354.23,1930.25,47,54,2022-06-29,2026-05-19,2026-12-31,96.0,81.99,Ashoka Buildcon Ltd,1,Central,Complete,Obtained,Obtained,Partial,Open,0,2026-06-15,8.3,0,0,0,1.08,14.89,8.4,Low
PROJ-701346,North East Gas Grid,Oil & Gas,Ministry of Petroleum & Natural Gas,Mizoram,Champhai,Indradhanush Gas Grid Limited,9265.0,9265.0,7008.0,48,96,2020-04-01,2024-03-31,2028-03-31,88.0,75.64,Larsen & Toubro Ltd,3,Central,Complete,Obtained,Not Required,Complete,Limited,4,2026-06-27,5.4,3,0,1,0.0,100.0,39.8,Medium
PROJ-604791,Numaligarh Refinery Expansion Project,Oil & Gas,Ministry of Petroleum & Natural Gas,Manipur,Churachandpur,Numaligarh Refinery Limited,12366.0,25313.0,20411.2,48,80,2020-07-27,2024-07-27,2027-03-31,87.0,80.64,Ashoka Buildcon Ltd,1,Central,Complete,Pending,Not Required,Complete,Single,3,2026-02-10,3.5,2,1,1,104.7,66.67,67.1,High
PROJ-709841,Old Pipe Line Replacement [OPRP] Group-A,Oil & Gas,Ministry of Petroleum & Natural Gas,Mizoram,Aizawl,Oil and Natural Gas Corporation Limited [ONGC],173.0,169.84,168.22,49,65,2021-07-01,2025-07-18,2026-11-16,95.0,97.24,IRB Infrastructure Developers,4,Externally Aided,Complete,Pending,Not Required,Complete,Open,2,2026-07-26,4.8,1,0,1,0.0,32.65,24.3,Low
PROJ-619328,ONGC-BP Redevelopment Phase-1 Scheme of Mumbai High Field,Oil & Gas,Ministry of Petroleum & Natural Gas,Maharashtra,Mumbai,Oil and Natural Gas Corporation Limited [ONGC],3713.0,3908.0,2304.68,16,16,2025-11-25,2027-03-31,2027-03-31,56.0,58.97,Larsen & Toubro Ltd,1,State,Complete,Obtained,Not Required,Complete,Open,0,2026-05-24,8.5,1,0,0,5.25,0.0,8.0,Low
PROJ-619223,Petro Resid Fluidized Catalytic Cracking [PRFCC] Unit and its associated facilities at Mumbai Refinery,Oil & Gas,Ministry of Petroleum & Natural Gas,Maharashtra,Mumbai,Bharat Petroleum Corporation Limited [BPCL],13626.0,13626.0,93.6,52,52,2025-05-30,2029-09-30,2029-09-30,7.0,0.69,Adani Infra Ltd,1,Central,Complete,Obtained,Obtained,Complete,Single,1,2026-04-01,8.0,0,0,0,0.0,0.0,8.0,Low
